Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
91,Steven Adams,28,MEM,C,76,75,1999,.547,2.9,.997,.693,.260,.042,.003,.003,.548,.632,.350,.438,.000,.000,.490,,.143,48,.000,,1,0,,adamsst01
92,Kelly Oubre Jr.,26,CHO,SF,76,13,1999,.440,16.9,.407,.231,.121,.042,.013,.593,.578,.716,.425,.308,.417,.345,.612,.932,.063,53,.313,.335,2,0,6MOY-7,oubreke01
93,Deni Avdija,21,WAS,SF,82,8,1984,.432,14.4,.553,.221,.261,.040,.031,.447,.525,.633,.464,.435,.389,.317,.589,.939,.022,7,.247,.266,1,0,,avdijde01
94,P.J. Tucker,36,MIA,PF,71,70,1981,.484,13.8,.549,.199,.255,.079,.016,.451,.540,.600,.532,.471,.286,.415,.819,.988,.007,3,.886,.415,0,0,,tuckepj01
95,Isaac Okoro,21,CLE,SF,67,61,1981,.480,10.4,.636,.487,.123,.009,.016,.364,.555,.648,.264,.250,.143,.350,.717,.945,.090,36,.732,.348,0,0,,okorois01
96,Spencer Dinwiddie,28,2TM,PG,67,51,1980,.416,15.2,.551,.176,.237,.088,.050,.449,.479,.643,.402,.446,.324,.339,.201,.536,.007,3,.182,.367,1,0,,dinwisp01
96,Spencer Dinwiddie,28,WAS,PG,44,44,1330,.376,16.2,.541,.152,.236,.091,.061,.459,.432,.573,.388,.378,.333,.310,.148,.500,.006,1,.142,.313,1,0,,dinwisp01
96,Spencer Dinwiddie,28,DAL,PG,23,7,650,.498,14.2,.572,.222,.239,.082,.029,.428,.568,.741,.431,.600,.286,.404,.278,.595,.008,2,.269,.429,0,0,,dinwisp01
97,Malik Beasley,25,MIN,SG,79,18,1976,.391,20.8,.251,.088,.066,.052,.045,.749,.432,.587,.357,.341,.342,.377,.652,.904,.020,16,.319,.404,4,0,,beaslma01
98,Jakob Poeltl,26,SAS,C,68,67,1970,.618,4.7,.998,.471,.391,.133,.005,.002,.618,.747,.514,.477,.333,1.000,.702,1.000,.072,44,.000,,1,1,,poeltja01
99,Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,.453,12.1,.718,.220,.320,.131,.047,.282,.514,.662,.445,.442,.490,.300,.137,.303,.023,23,.077,.391,0,0,,gilgesh01
100,Robert Covington,31,2TM,PF,71,42,1940,.420,18.8,.319,.171,.108,.022,.018,.681,.509,.659,.333,.273,.444,.378,.654,.930,.030,12,.198,.552,0,0,,covinro01
100,Robert Covington,31,POR,PF,48,40,1431,.381,18.9,.315,.164,.110,.021,.021,.685,.462,.600,.324,.286,.286,.343,.612,.962,.021,6,.191,.477,0,0,,covinro01
100,Robert Covington,31,LAC,PF,23,2,509,.500,18.7,.327,.185,.105,.025,.012,.673,.604,.767,.353,.250,1.000,.450,.719,.878,.049,6,.211,.696,0,0,,covinro01
101,Devin Vassell,21,SAS,SF,71,32,1937,.427,17.3,.503,.131,.126,.151,.096,.497,.492,.670,.448,.417,.425,.361,.672,.971,.043,28,.326,.347,1,0,,vassede01
102,Jimmy Butler,32,MIA,SF,57,57,1931,.480,9.6,.860,.306,.291,.195,.068,.140,.520,.701,.415,.457,.339,.233,.377,.778,.051,38,.466,.278,2,0,AS,butleji01
103,Darius Bazley,21,OKC,PF,69,53,1924,.422,12.7,.586,.307,.251,.011,.017,.414,.511,.613,.405,.571,.182,.297,.639,.950,.143,77,.245,.333,1,0,,bazleda01
104,Luke Kennard,25,LAC,SG,70,13,1919,.449,20.8,.338,.050,.086,.121,.081,.662,.449,.625,.455,.416,.385,.449,.660,.916,.000,0,.142,.467,0,0,6MOY-5,kennalu01
105,Kevin Porter Jr.,21,HOU,PG,61,61,1907,.415,16.5,.489,.203,.157,.058,.071,.511,.456,.646,.291,.362,.351,.375,.267,.516,.052,34,.107,.477,0,0,,porteke02
106,Reggie Bullock,30,DAL,SF,68,37,1902,.401,20.9,.218,.096,.048,.032,.042,.782,.550,.688,.292,.688,.429,.360,.767,.986,.004,2,.446,.406,0,0,,bullore01
107,Ja Morant,22,MEM,PG,57,57,1889,.493,10.3,.782,.332,.291,.135,.025,.218,.534,.706,.433,.384,.241,.344,.248,.511,.057,58,.090,.391,3,0,MVP-7MIP-1ASNBA2,moranja01
108,Jae Crowder,31,PHO,PF,67,67,1886,.399,20.8,.329,.059,.094,.079,.097,.671,.503,.656,.431,.488,.491,.348,.822,.929,.004,2,.214,.423,2,0,,crowdja01
109,Jarred Vanderbilt,22,MIN,PF,74,67,1880,.587,3.1,.961,.726,.211,.022,.003,.039,.605,.710,.289,.250,.000,.143,.690,1.000,.343,117,.643,.222,0,0,,vandeja01
110,Lauri Markkanen,24,CLE,SF,61,61,1878,.445,16.5,.459,.226,.144,.061,.028,.541,.548,.679,.446,.326,.500,.358,.684,.993,.081,52,.200,.342,0,0,,markkla01
111,Grant Williams,23,BOS,PF,77,21,1875,.475,16.6,.403,.185,.169,.035,.014,.597,.569,.750,.493,.133,.167,.411,.717,.991,.032,11,.481,.468,0,0,,willigr01
